hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP01795	162218	0.000493	0.033973	0.034041	0.039928	0.111492	0.134942	0.137839	0.000000	0.038948	0.024288	0.036630	0.046031	0.006054	0.010893	0.014289	0.000771	0.000000	0.029627	0.049847	0.082482	0.005412	0.000006	0.002114	0.017261	0.008433	0.000000	0.035847	0.045531	0.023031	0.029793	0.000006
HIP01797	180617	0.000277	0.040378	0.023741	0.050898	0.107642	0.129728	0.131804	0.000000	0.035993	0.017429	0.043429	0.044226	0.006278	0.009772	0.012740	0.000847	0.000017	0.027185	0.048445	0.094592	0.005276	0.000000	0.001744	0.019987	0.009634	0.000000	0.027024	0.054585	0.027412	0.028918	0.000000
HIP01798	217959	0.000367	0.030217	0.025445	0.057543	0.098619	0.136815	0.133057	0.000005	0.037833	0.017246	0.030318	0.047491	0.007222	0.009667	0.014980	0.000954	0.000005	0.026487	0.046935	0.078281	0.005932	0.000000	0.002143	0.017035	0.007910	0.000000	0.039654	0.075968	0.022169	0.029671	0.000032
HIP01805	285949	0.000906	0.032111	0.032390	0.043375	0.109624	0.124344	0.129841	0.000003	0.039206	0.021245	0.028537	0.054380	0.006865	0.008998	0.014202	0.000930	0.000000	0.024295	0.057552	0.073740	0.005351	0.000003	0.002354	0.021654	0.008911	0.000003	0.032216	0.069512	0.023819	0.033614	0.000017
HIP01820	207542	0.000650	0.040989	0.035241	0.048487	0.126909	0.159972	0.133612	0.000000	0.044430	0.023643	0.036479	0.064011	0.011593	0.010133	0.015322	0.000819	0.000000	0.023051	0.056962	0.075170	0.004616	0.000010	0.002115	0.006601	0.012258	0.000000	0.033998	0.008774	0.023181	0.000968	0.000005
HIP01850	193226	0.000642	0.044073	0.034980	0.038297	0.121138	0.127633	0.102911	0.000000	0.037360	0.035906	0.038546	0.062259	0.009776	0.011613	0.012462	0.001216	0.000041	0.028790	0.059826	0.077148	0.005584	0.000005	0.001785	0.032330	0.012286	0.000000	0.031388	0.012478	0.024350	0.035171	0.000005
HIP01856	129167	0.000619	0.033135	0.029791	0.055223	0.118041	0.140237	0.131102	0.000008	0.032624	0.024790	0.029775	0.047605	0.006712	0.006944	0.012867	0.000635	0.000000	0.024867	0.051817	0.070521	0.005071	0.000000	0.002098	0.019301	0.008981	0.000000	0.043982	0.065179	0.020292	0.017775	0.000008
HIP01865	50307	0.001034	0.039577	0.028565	0.038802	0.135071	0.155028	0.103385	0.000000	0.033057	0.026080	0.021548	0.055122	0.007017	0.009919	0.018009	0.001014	0.000000	0.028207	0.043930	0.086747	0.004095	0.000000	0.001908	0.019659	0.010535	0.000000	0.025901	0.046991	0.024152	0.034389	0.000258
HIP01867	246905	0.000421	0.024196	0.025516	0.043110	0.105976	0.145558	0.101468	0.000000	0.037326	0.018213	0.023560	0.048318	0.006808	0.010397	0.015743	0.000555	0.000000	0.040011	0.055406	0.110990	0.001094	0.000004	0.001195	0.011709	0.011745	0.000000	0.035589	0.034050	0.036115	0.054920	0.000008
HIP01870	163042	0.000577	0.051232	0.035353	0.026999	0.136124	0.121950	0.096981	0.000000	0.027422	0.031955	0.034500	0.041394	0.005845	0.009464	0.014303	0.000871	0.000000	0.022982	0.046700	0.092093	0.005244	0.000012	0.001957	0.017026	0.010065	0.000000	0.030213	0.065364	0.029808	0.043565	0.000000
